ID,Percentage,Category,no_Anch,no_Chg,Anch1,Anch2,Anch3,Anch4,Chg1,Chg2,Chg3,Chg4,Chg5,Hgt1,Hgt2,Hgt3,Hgt4,Hgt5
1,0.7221920274440728,FP,2,3,0,4,-99,-99,3,5,16,-99,-99,-3.0,1.0,2.0,-99,-99,
2,0.26302357801998305,TN,3,2,0,9,17,-99,0,3,-99,-99,-99,5.0,3.0,-99,-99,-99,
3,0.41273760694950046,TN,0,1,-99,-99,-99,-99,3,-99,-99,-99,-99,3.0,-99,-99,-99,-99,
4,0.1630033181330704,TN,2,3,0,4,-99,-99,0,3,4,-99,-99,3.0,5.0,5.0,-99,-99,
5,0.3303364495571433,TN,4,2,0,4,13,17,0,3,-99,-99,-99,5.0,1.0,-99,-99,-99,
6,0.6556586279580369,FP,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
7,0.4666805867925568,TN,0,1,-99,-99,-99,-99,3,-99,-99,-99,-99,1.0,-99,-99,-99,-99,
8,0.20767275832340718,TN,2,4,0,4,-99,-99,0,3,7,20,-99,5.0,1.0,1.0,4.0,-99,
9,0.5126170558173211,FP,3,1,3,4,9,-99,16,-99,-99,-99,-99,1.0,-99,-99,-99,-99,
10,0.7701165679028265,FP,4,0,0,4,9,16,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
11,0.12984222316135513,TN,3,4,0,3,5,-99,0,3,4,20,-99,5.0,5.0,4.0,2.0,-99,
12,0.13851062994071964,TN,2,0,0,17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
13,0.38340193849483684,TN,4,1,0,3,8,18,3,-99,-99,-99,-99,4.0,-99,-99,-99,-99,
14,0.3627751090595117,TN,0,2,-99,-99,-99,-99,3,4,-99,-99,-99,2.0,2.0,-99,-99,-99,
15,0.39853164301103555,TN,0,2,-99,-99,-99,-99,0,4,-99,-99,-99,1.0,2.0,-99,-99,-99,
16,0.40190095610588855,TN,4,1,0,3,4,17,3,-99,-99,-99,-99,3.0,-99,-99,-99,-99,
17,0.14641536856716625,TN,2,5,0,17,-99,-99,0,3,4,6,20,5.0,4.0,3.0,1.0,2.0,
18,0.22815807644993102,TN,2,4,8,16,-99,-99,0,3,4,20,-99,3.0,2.0,3.0,4.0,-99,
