TX_ID,SENDER_ACCOUNT_ID,RECEIVER_ACCOUNT_ID,TX_TYPE,TX_AMOUNT,TIMESTAMP,IS_FRAUD,ALERT_ID
1,29,68,TRANSFER,65.55,0,False,-1
2,29,25,TRANSFER,65.55,0,False,-1
3,29,19,TRANSFER,65.55,0,False,-1
4,29,93,TRANSFER,65.55,0,False,-1
5,29,72,TRANSFER,65.55,0,False,-1
6,29,63,TRANSFER,65.55,0,False,-1
7,43,81,TRANSFER,64.11,0,False,-1
8,43,94,TRANSFER,64.11,0,False,-1
9,43,40,TRANSFER,64.11,0,False,-1
10,43,96,TRANSFER,64.11,0,False,-1
11,43,86,TRANSFER,64.11,0,False,-1
12,43,98,TRANSFER,64.11,0,False,-1
13,43,54,TRANSFER,64.11,0,False,-1
14,62,13,TRANSFER,21.81,0,False,-1
15,62,24,TRANSFER,21.81,0,False,-1
16,62,25,TRANSFER,21.81,0,False,-1
17,62,58,TRANSFER,21.81,0,False,-1
18,62,90,TRANSFER,21.81,0,False,-1
19,62,92,TRANSFER,21.81,0,False,-1
20,62,85,TRANSFER,21.81,0,False,-1
21,62,97,TRANSFER,21.81,0,False,-1
22,62,20,TRANSFER,21.81,0,False,-1
23,84,33,TRANSFER,28.42,0,False,-1
24,84,89,TRANSFER,28.42,0,False,-1
25,84,38,TRANSFER,28.42,0,False,-1
26,84,92,TRANSFER,28.42,0,False,-1
27,84,93,TRANSFER,28.42,0,False,-1
28,84,73,TRANSFER,28.42,0,False,-1
29,84,95,TRANSFER,28.42,0,False,-1
30,84,86,TRANSFER,28.42,0,False,-1
31,84,53,TRANSFER,28.42,0,False,-1
32,84,31,TRANSFER,28.42,0,False,-1
33,84,54,TRANSFER,28.42,0,False,-1
34,84,87,TRANSFER,28.42,0,False,-1
35,16,88,TRANSFER,38.19,0,False,-1
36,16,59,TRANSFER,38.19,0,False,-1
37,16,37,TRANSFER,38.19,0,False,-1
38,16,39,TRANSFER,38.19,0,False,-1
